epoch,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice,learning_rate
1.0,0.8683452640260969,0.7370317876338959,0.8227893437658037,0.8888223171234131,0.7408701777458191,0.8375243186950684,0.001
2.0,0.6724452938352312,0.8468507494245257,0.9128390141895839,0.7912051558494568,0.7404985785484314,0.8393043518066406,0.001
3.0,0.5604407157216753,0.8867536391530718,0.9373073646000454,0.6020543217658997,0.8256458401679992,0.8991489410400391,0.001
4.0,0.49931318759918214,0.8884345616613115,0.937757624898638,0.7727741360664367,0.6605114698410034,0.7868839621543884,0.001
5.0,0.4395976151738848,0.8878322669437954,0.9379964692252023,0.4324787735939026,0.9035303354263305,0.9470214605331421,0.001
6.0,0.3597978472709656,0.9123485939843314,0.9525765555245536,0.3830497801303864,0.9134133934974671,0.9526027917861939,0.001
7.0,0.3207047189985003,0.9148350119590759,0.9544687543596541,0.3336776793003082,0.9196139454841614,0.9559268236160279,0.001
8.0,0.27723496215684074,0.9201340130397252,0.9567714214324952,0.3572135329246521,0.8881162881851197,0.936567747592926,0.001
9.0,0.25235243695122855,0.9171487399509974,0.9553859029497419,0.298737621307373,0.8747353911399841,0.9315304279327392,0.001
10.0,0.2330831331866128,0.9111196177346366,0.9503672906330654,0.2544403523206711,0.902813994884491,0.9456195831298828,0.001
11.0,0.2080051907471248,0.9211121933800833,0.9574012586048671,0.4828304648399353,0.7498868584632874,0.8501802444458008,0.001
12.0,0.17743631601333618,0.9279675960540772,0.9613084009715489,0.20183552503585817,0.9114250659942627,0.9511513710021973,0.001
13.0,0.16866079781736645,0.925095294203077,0.9598075117383684,0.18605847656726837,0.9187985181808471,0.9555962681770325,0.001
14.0,0.16779095445360456,0.9241845164980207,0.959003836768014,0.2032269686460495,0.8898537397384644,0.9378927946090698,0.001
15.0,0.154171541758946,0.9236081361770629,0.958642087663923,0.1371755361557007,0.9266066908836365,0.9597964525222779,0.001
16.0,0.13903396001883916,0.926591283934457,0.9603019271578107,0.13914512246847152,0.933232843875885,0.9637483954429626,0.001
17.0,0.12021301133292062,0.9452786036900112,0.9709326641900199,0.1480272725224495,0.9154159784317016,0.95309077501297,0.001
18.0,0.1160737259047372,0.9398887651307243,0.9678297315325056,0.10278926193714141,0.9362665772438049,0.9659393668174744,0.001
19.0,0.11487532556056976,0.9387400865554809,0.9673990215573992,0.47527718245983125,0.7422246992588043,0.8212667822837829,0.001
20.0,0.10916277234043394,0.9410458104951042,0.9683563198362078,0.10343386381864547,0.9413442730903625,0.9685790181159973,0.001
21.0,0.09750851648194449,0.9473823291914804,0.9719468287059239,0.09564177691936493,0.939217483997345,0.967243778705597,0.001
22.0,0.09706666192838125,0.9429552759443011,0.9695031370435442,0.09782319217920303,0.9332075834274292,0.9638981819152832,0.001
23.0,0.11508847858224597,0.9312483038221087,0.9630252361297608,0.11229349970817566,0.9266280174255371,0.9605857849121093,0.001
24.0,0.12443882056644985,0.9195119108472551,0.9562484230313982,0.27808486521244047,0.8259839057922364,0.9005656838417053,0.001
25.0,0.10170733726450375,0.9327768325805664,0.9641197017260961,0.09144622907042503,0.9396415114402771,0.9674559950828552,0.001
26.0,0.12239306611674172,0.9234897255897522,0.9559716769627162,0.23734930753707886,0.8381824016571044,0.9061878561973572,0.001
27.0,0.11396503107888357,0.9287986363683428,0.9621199675968715,0.0981123074889183,0.933514142036438,0.9643909573554993,0.001
28.0,0.09268052237374443,0.9443597827638899,0.9707548584256853,0.0873315043747425,0.9290262341499329,0.9612408876419067,0.001
29.0,0.09280071194682803,0.9390380433627538,0.9673471535955157,0.10000746995210648,0.9267419815063477,0.9600050568580627,0.001
30.0,0.08256812393665314,0.9492336681910923,0.9732794914926801,0.07857735976576805,0.9474042057991028,0.9722474217414856,0.001
31.0,0.08249103959117617,0.947151095526559,0.9721287965774537,0.06705989241600037,0.955553925037384,0.9767966508865357,0.001
32.0,0.08991622754505703,0.9471572399139404,0.9718377930777413,0.09330995008349419,0.9286911129951477,0.9610439300537109,0.001
33.0,0.06716565521700042,0.9587828125272478,0.9784490329878671,0.06509675309062005,0.9540110111236573,0.9759518504142761,0.001
34.0,0.06771152870995657,0.95673508644104,0.9774070501327514,0.08382172882556915,0.9332095980644226,0.9638208389282227,0.001
35.0,0.06086889696972711,0.9609398586409432,0.9796991263117109,0.06748632490634918,0.9483558773994446,0.9726108551025391,0.001
36.0,0.052658436128071376,0.9642468128885542,0.9813428350857326,0.056557122617959976,0.9581045508384705,0.9781566619873047,0.001
37.0,0.061476386444909235,0.9606824312891279,0.9795663527079991,0.05851938128471375,0.953481936454773,0.9753684043884278,0.001
38.0,0.06187074525015695,0.9590653351375035,0.978466146332877,0.06997305378317834,0.9488093972206115,0.9728699088096618,0.001
39.0,0.054900588946683065,0.9630909272602626,0.980879271030426,0.059434101730585095,0.9501781582832336,0.9738119602203369,0.001
40.0,0.04914759801966803,0.9668406895228795,0.9828408735139029,0.04916451945900917,0.9627650141716003,0.9807818770408631,0.001
